ano	regiao	sg_estado	id_cbo	renda_mensal_total	total_empregos	total_estabelecimentos
2014	Norte	AC	3425	326537.16	96	13
2014	Norte	AC	3426	2885.13	1	1
2014	Norte	AC	3511	972239.68	311	68
2014	Norte	AC	3513	1727907.59	838	110
2014	Norte	AC	3514	2648525.45	441	35
2014	Norte	AC	3515	3625504.24	995	108
2014	Norte	AC	3516	257419.73	79	51
2014	Norte	AC	3517	7542.35	4	3
2014	Norte	AC	3518	70377.47	9	2
2014	Norte	AC	3522	2404935	707	26
2014	Norte	AC	3523	993806.99	411	4
2014	Norte	AC	3532	78117.47	38	24
2014	Norte	AC	3541	1025559.28	855	264
2014	Norte	AC	3542	134191.63	54	37
2014	Norte	AC	3544	6529.04	3	2
2014	Norte	AC	3546	5574.79	3	3
2014	Norte	AC	3547	8919.82	7	3
2014	Norte	AC	3548	59726.23	38	15
2014	Norte	AC	3711	49144.23	31	6
2014	Norte	AC	3712	49942.01	7	1
2014	Norte	AC	3713	7087.43	5	2
2014	Norte	AC	3714	36905.36	26	12
2014	Norte	AC	3721	26145.63	21	10
2014	Norte	AC	3722	24468.34	10	5
2014	Norte	AC	3731	88205.52	77	17
2014	Norte	AC	3732	130042.07	89	18
2014	Norte	AC	3741	12679.21	9	5
2014	Norte	AC	3743	4717.65	4	2
2014	Norte	AC	3744	12867.98	13	10
2014	Norte	AC	3751	16784.18	14	10
2014	Norte	AC	3762	1377.82	1	1
2014	Norte	AC	3763	8551.74	5	4
2014	Norte	AC	3771	9155.36	10	4
2014	Norte	AC	3772	4906.84	3	2
2014	Norte	AC	3911	48109.28	42	30
2014	Norte	AC	3912	209022.21	116	32
2014	Norte	AC	3951	34662.37	23	6
2014	Norte	AC	4101	4321458.63	1624	222
2014	Norte	AC	4102	248886.6	159	105
2014	Norte	AC	4110	31537380.47	16087	1878
2014	Norte	AC	4121	1619947.95	809	112
2014	Norte	AC	4122	1496650.38	1410	399
2014	Norte	AC	4131	592051.73	421	196
2014	Norte	AC	4132	5047191.07	1076	154
2014	Norte	AC	4141	1254140.84	1140	375
2014	Norte	AC	4142	760750.58	570	179
2014	Norte	AC	4151	55112.98	46	22
2014	Norte	AC	4152	652719.4	254	26
2014	Norte	AC	4201	777948.04	331	71
2014	Norte	AC	4211	2592508.4	2448	793
2014	Norte	AC	4212	14982.53	16	9
2014	Norte	AC	4213	118481.83	109	69
2014	Norte	AC	4221	2556443.19	2155	609
2014	Norte	AC	4222	268656.02	200	48
2014	Norte	AC	4223	101171.66	97	15
2014	Norte	AC	4231	9963.92	10	5
2014	Norte	AC	4241	41461.11	21	5
2014	Norte	AC	5101	36669.42	22	16
2014	Norte	AC	5102	2663.39	2	2
2014	Norte	AC	5103	70753.17	31	9
2014	Norte	AC	5111	22078	25	16
2014	Norte	AC	5112	830324.49	689	21
2014	Norte	AC	5131	9781.07	10	9
2014	Norte	AC	5132	1141892.81	1217	411
2014	Norte	AC	5133	223370.72	259	65
2014	Norte	AC	5134	1499353.7	1474	365
2014	Norte	AC	5135	511718.35	538	164
2014	Norte	AC	5136	59989.7	61	47
2014	Norte	AC	5141	1784964.36	2010	454
2014	Norte	AC	5142	3434160.22	3565	344
2014	Norte	AC	5143	3763987.95	3913	811
2014	Norte	AC	5151	3947334.43	2429	35
2014	Norte	AC	5152	292372.72	216	34
2014	Norte	AC	5153	92839.55	70	13
2014	Norte	AC	5161	55736.19	69	24
2014	Norte	AC	5162	49524.47	53	18
2014	Norte	AC	5163	80261.01	75	29
2014	Norte	AC	5164	7464.9	9	5
2014	Norte	AC	5165	45950.62	36	7
2014	Norte	AC	5166	48382.12	38	8
2014	Norte	AC	5171	9324.64	9	5
2014	Norte	AC	5172	7522357.55	2377	10
2014	Norte	AC	5173	3689229.81	2456	130
2014	Norte	AC	5174	3056743.78	2719	427
2014	Norte	AC	5191	525447.61	479	292
2014	Norte	AC	5192	9097.4	12	5
2014	Norte	AC	5193	37644.23	43	14
2014	Norte	AC	5199	228893.85	198	81
2014	Norte	AC	5201	499632.5	237	126
2014	Norte	AC	5211	10860146.87	8938	2185
2014	Norte	AC	5231	34690.49	40	23
2014	Norte	AC	5241	82176.11	76	22
2014	Norte	AC	5242	11829.36	6	3
2014	Norte	AC	5243	16846.25	17	9
2014	Norte	AC	6110	9526.01	10	9
2014	Norte	AC	6124	1395.66	1	1
2014	Norte	AC	6125	791.11	1	1
2014	Norte	AC	6130	40810.46	44	9
2014	Norte	AC	6131	6247.09	7	6
2014	Norte	AC	6132	1496.48	1	1
2014	Norte	AC	6133	724	1	1
2014	Norte	AC	6201	81650.79	57	37
2014	Norte	AC	6210	1123975.54	1194	296
2014	Norte	AC	6220	256915.69	271	158
2014	Norte	AC	6221	26604.85	28	2
2014	Norte	AC	6222	1589.9	2	1
2014	Norte	AC	6223	15876.79	17	6
2014	Norte	AC	6224	4061.74	6	1
2014	Norte	AC	6225	743.44	1	1
2014	Norte	AC	6228	9122.72	11	1
2014	Norte	AC	6230	344166.92	266	97
2014	Norte	AC	6231	778808.33	871	437
2014	Norte	AC	6232	17562.27	22	12
2014	Norte	AC	6233	9755.29	9	5
2014	Norte	AC	6234	4131.42	1	1
2014	Norte	AC	6301	11413.69	5	5
2014	Norte	AC	6312	1741.66	2	1
2014	Norte	AC	6313	25678.27	27	6
2014	Norte	AC	6320	1500.47	2	1
2014	Norte	AC	6321	83992.18	77	31
2014	Norte	AC	6324	36770.22	44	2
2014	Norte	AC	6325	10517.28	12	9
2014	Norte	AC	6326	778.33	1	1
2014	Norte	AC	6410	347800.26	280	115
2014	Norte	AC	6420	13145.15	10	8
2014	Norte	AC	7101	6500	1	1
2014	Norte	AC	7102	809275.28	300	112
2014	Norte	AC	7111	6996.79	4	2
2014	Norte	AC	7112	38580.24	26	20
2014	Norte	AC	7113	4972.84	5	3
2014	Norte	AC	7114	4800	4	1
2014	Norte	AC	7121	2131.85	1	1
2014	Norte	AC	7122	30488.1	30	8
2014	Norte	AC	7151	932488.09	541	178
2014	Norte	AC	7152	1617727.81	1188	277
2014	Norte	AC	7153	210499.13	161	53
2014	Norte	AC	7154	53110.27	43	21
2014	Norte	AC	7155	566757.09	423	146
2014	Norte	AC	7156	989577.56	546	65
2014	Norte	AC	7157	11194.91	9	4
2014	Norte	AC	7161	11687.37	11	4
2014	Norte	AC	7163	71903.18	73	19
2014	Norte	AC	7164	21879.13	26	2
2014	Norte	AC	7165	19042.77	20	8
2014	Norte	AC	7166	248528.53	193	66
2014	Norte	AC	7170	2628153.72	2905	289
2014	Norte	AC	7201	52191.85	39	8
2014	Norte	AC	7202	1533.33	1	1
2014	Norte	AC	7211	13208.96	13	10
2014	Norte	AC	7212	93892.69	62	20
2014	Norte	AC	7213	17802.91	9	7
2014	Norte	AC	7214	22707.23	11	8
2014	Norte	AC	7221	84399.41	60	29
2014	Norte	AC	7222	1841.87	2	2
2014	Norte	AC	7223	5683.58	6	3
2014	Norte	AC	7224	750	1	1
2014	Norte	AC	7232	2696.61	2	1
2014	Norte	AC	7233	99881.9	73	29
2014	Norte	AC	7241	452123.31	276	44
2014	Norte	AC	7242	46734.9	29	10
2014	Norte	AC	7243	197445.84	127	72
2014	Norte	AC	7244	100635.07	96	47
2014	Norte	AC	7245	119253.9	54	5
2014	Norte	AC	7250	231411.37	59	35
2014	Norte	AC	7251	12495.1	7	3
2014	Norte	AC	7252	11910.53	12	9
2014	Norte	AC	7254	1644.75	1	1
2014	Norte	AC	7255	8883.75	5	2
2014	Norte	AC	7257	21388.68	17	7
2014	Norte	AC	7301	7423.02	5	2
2014	Norte	AC	7311	59483.6	60	20
2014	Norte	AC	7312	3718.18	5	3
2014	Norte	AC	7313	183158.91	127	9
2014	Norte	AC	7321	433989.85	247	18
2014	Norte	AC	7401	19984.7	13	1
2014	Norte	AC	7411	3268.96	4	4
2014	Norte	AC	7511	9989.67	8	4
2014	Norte	AC	7522	20764.62	22	13
2014	Norte	AC	7523	59869.32	61	9
2014	Norte	AC	7524	782	1	1
2014	Norte	AC	7601	8113.46	5	3
2014	Norte	AC	7604	781.92	1	1
2014	Norte	AC	7605	5949.52	3	1
2014	Norte	AC	7606	6295.93	3	3
2014	Norte	AC	7612	3742.43	3	2
2014	Norte	AC	7613	4715.4	6	1
2014	Norte	AC	7614	5770.12	6	4
2014	Norte	AC	7620	20869.76	22	1
2014	Norte	AC	7621	27527.19	21	2
2014	Norte	AC	7622	16361.33	14	1
2014	Norte	AC	7623	7948.03	8	6
2014	Norte	AC	7630	92684.04	94	23
2014	Norte	AC	7631	92492.05	110	40
2014	Norte	AC	7632	38808.85	46	22
2014	Norte	AC	7633	7955.83	9	7
2014	Norte	AC	7651	4697	2	1
2014	Norte	AC	7652	6602.09	8	2
2014	Norte	AC	7661	64461.71	38	18
2014	Norte	AC	7662	78780.24	58	28
2014	Norte	AC	7663	13937.75	13	8
2014	Norte	AC	7664	11706.77	8	3
2014	Norte	AC	7681	2581.86	3	3
2014	Norte	AC	7682	764.22	1	1
2014	Norte	AC	7683	3362.29	2	1
2014	Norte	AC	7686	77923.39	23	20
2014	Norte	AC	7687	7284.04	8	7
2014	Norte	AC	7701	9617.8	3	2
2014	Norte	AC	7711	161786.12	146	70
2014	Norte	AC	7721	67310	78	21
2014	Norte	AC	7731	186828.58	166	51
2014	Norte	AC	7732	9098.28	7	4
2014	Norte	AC	7733	61896.67	51	18
2014	Norte	AC	7734	4066.42	5	2
2014	Norte	AC	7735	8267.46	8	8
2014	Norte	AC	7741	201161.44	163	73
2014	Norte	AC	7751	1792.77	2	2
2014	Norte	AC	7764	5305.35	5	2
2014	Norte	AC	7771	1534.06	2	2
2014	Norte	AC	7801	3160.02	3	3
2014	Norte	AC	7811	1060.26	1	1
2014	Norte	AC	7821	24603.97	20	10
2014	Norte	AC	7822	117463.11	94	42
2014	Norte	AC	7823	3611712.36	2267	741
2014	Norte	AC	7824	1139287.49	615	25
2014	Norte	AC	7825	2263295.16	1516	456
2014	Norte	AC	7826	10886.15	4	2
2014	Norte	AC	7827	76796.92	61	18
2014	Norte	AC	7828	30499.49	30	13
2014	Norte	AC	7831	36289.02	30	9
2014	Norte	AC	7832	1070935.17	1083	224
2014	Norte	AC	7841	472107.91	530	111
2014	Norte	AC	7842	690501.62	716	69
2014	Norte	AC	7911	781.92	1	1
2014	Norte	AC	8103	3322.22	2	2
2014	Norte	AC	8111	8124.24	7	4
2014	Norte	AC	8112	6771.85	7	1
2014	Norte	AC	8113	2860.85	2	1
2014	Norte	AC	8114	6655.23	3	3
2014	Norte	AC	8115	3974.75	5	1
2014	Norte	AC	8117	14159.81	10	4
2014	Norte	AC	8118	18901.1	12	2
2014	Norte	AC	8131	57571.85	13	4
